Game_number,Result,Avg_team_Age,Match_light_type,Match_format,Bowlers_in_team,Wicket_keeper_in_team,All_rounder_in_team,First_selection,Opponent,Season,Audience_number,Offshore,Max_run_scored_1over,Max_wicket_taken_1over,Extra_bowls_bowled,Min_run_given_1over,Min_run_scored_1over,Max_run_given_1over,extra_bowls_opponent,player_highest_run,Players_scored_zero,player_highest_wicket
Game_150,0,24,Day,ODI,3,1,3,Bowling,Kenya,Rainy,19075,Yes,11,2,6,3,3,6,5,89,4,1
Game_151,0,24,Day,ODI,2,1,4,Bowling,Srilanka,Rainy,14889,No,21,4,1,2,3,6,0,94,2,1
Game_152,1,24,Day and Night,ODI,3,1,1,Batting,Srilanka,Rainy,20202,Yes,16,4,6,4,3,6,3,55,3,1
Game_153,1,24,Day,T20,2,1,1,Batting,South Africa,Summer,45000,No,14,1,4,0,3,6,2,65,3,2
Game_154,0,24,Night,ODI,3,1,3,Bowling,Srilanka,Winter,18858,No,11,3,1,4,3,6,0,60,2,1
Game_155,0,24,Night,ODI,1,1,1,Bowling,Srilanka,Rainy,22134,No,17,4,6,2,2,6,2,46,2,1
Game_156,0,24,Day,ODI,1,1,4,Batting,England,Winter,30639,No,15,2,5,6,3,6,2,41,2,2
Game_157,0,24,Day,ODI,3,1,4,Bowling,Srilanka,Summer,25179,No,22,4,6,2,3,6,3,49,3,1
Game_158,1,24,Day,ODI,2,1,4,Batting,Srilanka,Rainy,15470,No,13,1,1,3,1,6,0,97,3,1
Game_159,0,24,Day,T20,1,1,4,Batting,South Africa,Rainy,29134,Yes,12,3,5,0,3,6,4,42,3,2
Game_160,1,24,Day and Night,ODI,3,1,2,Bowling,Srilanka,Summer,22204,Yes,11,3,4,2,2,6,0,89,3,1
Game_161,0,24,Night,T20,2,1,4,Batting,Zimbabwe,Rainy,14231,No,13,3,1,0,3,6,0,78,3,1
Game_162,0,24,Day,ODI,2,1,3,Bowling,Srilanka,Winter,16072,No,14,2,2,3,3,6,1,57,2,1
Game_163,0,24,Day and Night,ODI,1,1,1,Batting,Kenya,Summer,26320,Yes,13,3,6,2,3,6,3,32,3,1
Game_164,0,24,Day,ODI,3,1,3,Bowling,Kenya,Rainy,30807,No,16,4,5,1,3,6,3,62,4,1
Game_165,1,24,Day,Test,1,1,4,Bowling,Australia,Rainy,10885,No,11,3,1,2,3,6,0,58,1,1
Game_166,0,24,Day,ODI,1,1,2,Bowling,Srilanka,Winter,27349,No,13,2,6,2,4,6,2,91,3,1
Game_167,0,24,Day and Night,Test,3,1,1,Bowling,Australia,Rainy,15015,No,14,4,3,2,3,6,2,59,3,1
Game_168,0,24,Day,ODI,2,1,2,Bowling,Pakistan,Summer,32319,No,12,2,4,2,2,6,3,45,2,2
Game_169,0,24,Night,ODI,2,1,1,Batting,England,Winter,28077,No,18,4,5,5,2,6,2,96,4,2
Game_170,1,27,Day,ODI,3,1,2,Bowling,Kenya,Rainy,16051,Yes,16,1,6,2,2,6,0,61,3,1
Game_171,0,24,Day,T20,2,1,1,Batting,South Africa,Rainy,34993,No,21,1,4,0,2,6,2,33,3,2
Game_172,0,24,Day,ODI,1,1,2,Bowling,Srilanka,Rainy,19418,No,12,3,6,2,3,6,3,52,3,1
Game_173,0,24,Day,T20,4,1,4,Batting,South Africa,Winter,29820,Yes,12,4,5,0,4,6,2,77,3,2
Game_174,1,24,Day,20-20,1,1,3,Batting,Zimbabwe,Summer,22414,Yes,16,2,6,0,3,6,3,62,3,1
Game_175,0,24,Day and Night,T20,3,1,4,Bowling,Zimbabwe,Rainy,16800,No,13,3,3,0,3,6,2,38,3,1
Game_176,0,24,Day,ODI,3,1,2,Bowling,Kenya,Rainy,19075,Yes,11,2,6,3,3,6,5,89,4,1
Game_177,0,24,Day,ODI,2,1,4,Bowling,Srilanka,Rainy,14889,No,21,4,1,2,3,6,0,94,2,1
Game_178,1,24,Day and Night,ODI,3,1,1,Batting,Srilanka,Rainy,20202,Yes,16,4,6,4,3,6,3,55,3,1
Game_179,1,24,Day,T20,2,1,1,Batting,South Africa,Summer,32039,No,14,1,4,0,3,6,2,65,3,2
Game_180,0,24,Night,ODI,3,1,3,Bowling,Srilanka,Winter,18858,No,11,3,1,4,3,6,0,60,2,1
Game_181,0,24,Night,ODI,1,1,1,Bowling,Srilanka,Rainy,22134,No,17,4,6,2,2,6,2,46,2,1
Game_182,0,24,Day,ODI,1,1,4,Batting,England,Winter,30639,No,15,2,5,6,3,6,2,41,2,2
Game_183,0,24,Day,ODI,3,1,4,Bowling,Srilanka,Summer,25179,No,22,4,6,2,3,6,3,49,3,1
Game_184,1,24,Day,ODI,2,1,4,Batting,Srilanka,Rainy,15470,No,13,1,1,3,1,6,0,97,3,1
Game_185,0,24,Day,T20,1,1,4,Batting,South Africa,Rainy,29134,Yes,12,3,5,0,3,6,4,42,3,2
Game_186,1,24,Day and Night,ODI,3,1,2,Bowling,Srilanka,Summer,22204,Yes,11,3,4,2,2,6,0,89,3,1
Game_187,0,24,Night,T20,2,1,4,Batting,Zimbabwe,Rainy,14231,No,13,3,1,0,3,6,0,78,3,1
Game_188,0,24,Day,ODI,2,1,3,Bowling,Srilanka,Winter,16072,No,14,2,2,3,3,6,1,57,2,1
Game_189,0,24,Day and Night,ODI,1,1,1,Batting,Kenya,Summer,26320,Yes,13,3,6,2,3,6,3,32,3,1
Game_190,0,24,Day,ODI,3,1,3,Bowling,Kenya,Rainy,30807,No,16,4,5,1,3,6,3,62,4,1
Game_191,1,24,Day,Test,1,1,4,Bowling,Australia,Rainy,10885,No,11,3,1,2,3,6,0,58,1,1
Game_192,0,24,Day,ODI,1,1,2,Bowling,Srilanka,Winter,27349,No,13,2,6,2,4,6,2,91,3,1
Game_193,0,24,Day and Night,Test,3,1,1,Bowling,Australia,Rainy,15015,No,14,4,3,2,3,6,2,59,3,1
Game_194,0,24,Day,ODI,3,1,2,Bowling,Pakistan,Summer,32319,No,12,2,4,2,2,6,3,45,2,2
Game_195,1,25,Day,T20,3,1,3,Bowling,South Africa,Summer,40208,Yes,11,4,6,0,3,6,4,46,2,2
Game_196,0,25,Day,ODI,1,1,4,Bowling,Kenya,Rainy,20223,No,11,3,2,2,3,6,2,64,2,1
Game_197,0,25,Day,T20,3,1,1,Bowling,South Africa,Rainy,60473,No,18,4,6,0,3,6,2,41,2,2
Game_198,0,25,Day,ODI,3,1,3,Batting,England,Rainy,34286,No,12,4,5,3,3,6,2,62,3,2
Game_199,0,25,Night,ODI,2,1,2,Bowling,Pakistan,Winter,28000,No,12,4,6,2,3,6,3,85,4,2
Game_200,0,25,Day,T20,2,1,2,Batting,South Africa,Summer,31409,Yes,11,2,5,0,3,6,4,99,2,2
Game_201,1,25,Day,ODI,3,1,1,Bowling,Srilanka,Rainy,45000,No,13,3,6,5,3,6,2,91,3,1
Game_202,0,25,Day,T20,1,1,2,Bowling,Zimbabwe,Rainy,14672,No,11,3,7,0,3,7,4,40,3,1
Game_203,0,25,Day,T20,3,1,4,Bowling,South Africa,Rainy,33957,No,22,3,4,0,3,6,2,57,4,2
Game_204,0,25,Day,T20,1,1,3,Batting,South Africa,Summer,43260,No,23,2,6,0,2,6,5,32,3,2
Game_205,0,25,Day,ODI,1,1,1,Bowling,Kenya,Summer,23968,No,13,3,6,3,2,6,3,65,4,1
Game_206,0,25,Day,ODI,1,1,3,Bowling,South Africa,Rainy,29358,Yes,18,4,5,3,3,6,3,98,3,2
Game_207,0,25,Day,T20,1,1,3,Bowling,South Africa,Rainy,29792,No,12,1,5,0,4,6,2,87,2,2
Game_208,1,25,Day,T20,2,1,3,Bowling,Zimbabwe,Rainy,16891,Yes,18,3,1,0,3,6,0,36,2,1
Game_209,1,25,Day,ODI,1,1,4,Bowling,Srilanka,Rainy,25837,Yes,15,2,7,3,4,7,7,32,3,1
Game_210,0,25,Day,T20,4,1,3,Bowling,South Africa,Summer,34650,No,14,2,5,0,3,6,3,57,3,2
Game_211,1,25,Day and Night,T20,1,1,3,Bowling,Zimbabwe,Summer,7826,Yes,14,4,1,0,3,6,0,73,1,1
Game_212,0,25,Day,ODI,3,1,4,Batting,Kenya,Summer,14672,No,18,4,2,3,2,6,2,40,3,1
Game_213,0,25,Day,ODI,1,1,4,Bowling,Srilanka,Rainy,25683,No,11,3,7,6,2,6,2,67,3,1
Game_214,0,25,Day,T20,1,1,1,Bowling,South Africa,Rainy,43624,No,11,2,6,0,2,6,2,93,4,2
Game_215,0,25,Day,ODI,3,1,1,Bowling,Srilanka,Rainy,22603,No,11,2,7,2,2,6,2,81,3,1
Game_216,1,25,Day,T20,2,1,1,Bowling,Zimbabwe,Rainy,30800,No,12,1,6,0,3,6,2,68,2,1
Game_217,0,25,Day and Night,ODI,1,1,4,Bowling,England,Winter,36442,No,17,3,7,6,3,7,7,77,4,2
